Species_name
Galium saxatile
Galium spurium
Galium verum
Gamochaeta americana
Gaudinia fragilis
Genea
Genista
Genista florida
Genista hispanica
Genista hispanica occidentalis
Genista legionensis
Genista obtusiramea
Genista pilosa
Genista sagittalis
Genista tridentata
Genista tridentata cantabrica
Genisteae
Gentiana
Gentiana acaulis
Gentiana burseri
Gentiana lutea
Gentiana lutea aurantiaca
Gentiana lutea lutea
Gentiana occidentalis
Gentiana pneumonanthe
Gentiana verna
Gentiana verna verna
Gentianella
Gentianella campestris
Gentianopsis
Gentianopsis ciliata
Gentianopsis ciliata ciliata
Geraniaceae
Geranium
Geranium columbinum
Geranium dissectum
Geranium lucidum
Geranium molle
Geranium purpureum
Geranium pusillum
Geranium pyrenaicum
Geranium robertianum
Geranium rotundifolium
Geranium sanguineum
Geranium subargenteum
Geranium sylvaticum
Gerbera
Geum
Geum rivale
Geum sylvaticum
Geum urbanum
Gladiolus
Gladiolus communis
Gladiolus illyricus
Gladiolus italicus
Glandora
Glandora diffusa
Glandora prostrata
Glandora prostrata prostrata
Glaucium flavum
Glebionis coronaria
Glebionis segetum
Glechoma
Glechoma hederacea
Gleditsia triacanthos
Globularia
Globularia nudicaulis
Globularia repens
Globularia vulgaris
Glyceria declinata
Glycyrrhiza glabra
Gnaphalium uliginosum
Grevillea
Gymnadenia
Gymnadenia conopsea
Gymnadenia densiflora
Gymnadenia gabasiana
Gymnadenia odoratissima
Gymnocarpium robertianum
Gymnopera
Gypsophila
Gypsophila repens
Hedera
Hedera canariensis
Hedera helix
Hedera hibernica
Hedlundia
Hedlundia hybrida
Hedlundia mougeotii
Hedychium
Hedychium gardnerianum
Helianthemum
Helianthemum apenninum
Helianthemum apenninum cantabricum
Helianthemum apenninum urrielense
Helianthemum canum
Helianthemum croceum
Helianthemum nummularium
Helianthemum oelandicum
Helianthemum salicifolium
Helianthemum tinetense
Helianthus
Helianthus × laetiflorus
Helianthus tuberosus
Helichrysum
Helichrysum petiolare
Helichrysum stoechas
Helictochloa marginata
Helictotrichon
Helictotrichon cantabricum
Helictotrichon sedenense
Helioscopia
Heliotropium arborescens
Heliotropium europaeum
Helleborus
Helleborus foetidus
Helleborus viridis
Helleborus viridis occidentalis
Helminthotheca echioides
Helosciadium nodiflorum
Hepatica nobilis
Heracleum
Heracleum sibiricum
Heracleum sphondylium
Heracleum sphondylium pyrenaicum
Herbertia lahue
Herniaria ciliolata
Herniaria ciliolata robusta
Herniaria glabra
Herniaria hirsuta
Herniaria latifolia
Hesperis
Hesperis matronalis
Hesperocyparis lusitanica
Hesperocyparis macrocarpa
Heuchera
Hexaphylla hirta
Hibiscus syriacus
Hieraciinae
Hieracium
Hieracium amplexicaule
Hieracium glaucinum
Hieracium laevigatum
Hieracium mixtum
Hieracium murorum
Hieracium sabaudum
Hieracium villosum
Himantoglossum
Himantoglossum hircinum
Himantoglossum robertianum
Hippocrepis ciliata
Hippocrepis comosa
Hirschfeldia incana
Holcus
Holcus lanatus
Holcus mollis
Honckenya peploides
Hordeinae
Hordeum
Hordeum murinum
Hordeum spontaneum
Hordeum vulgare
Hordeum vulgare distichon
Horminum pyrenaicum
Hornungia
Hornungia alpina
Hornungia alpina auerswaldii
Humulus lupulus
Huperzia selago
Hyacintheae
Hyacinthoides
Hyacinthoides × massartiana
Hyacinthoides non-scripta
Hydrangea
Hydrangea macrophylla
Hydrangeaceae
Hydrocotyle
Hydrocotyle bonariensis
Hydrocotyle sibthorpioides
Hydrocotyle vulgaris
Hylotelephium
Hylotelephium maximum
Hylotelephium telephium
Hymenophyllum tunbrigense
Hyoscyamus niger
Hypecoum imberbe
Hypericum
Hypericum × hidcoteense
Hypericum androsaemum
Hypericum calycinum
Hypericum elodes
Hypericum hirsutum
Hypericum humifusum
Hypericum montanum
Hypericum nummularium
Hypericum perforatum
Hypericum pulchrum
Hypericum richeri
Hypericum richeri burseri
Hypericum tetrapterum
Hypericum undulatum
Hypochaeridinae
Hypochaeris glabra
Hypochaeris radicata
Iberis
Iberis amara
Iberis carnosa
Iberis carnosa carnosa
Iberis pectinata
Iberis saxatilis
Iberis sempervirens
Ilex
Ilex aquifolium
Illecebrum verticillatum
Impatiens balfourii
Impatiens balsamina
Impatiens hawkeri
Impatiens sodenii
Inula
Inula helenium
Inuleae
Ionoxalis
Ipomoea
Ipomoea indica
Ipomoea purpurea
Iridaceae
Iris
Iris × germanica
Iris × hollandica
Iris foetidissima
Iris latifolia
Iris pseudacorus
Isatis tinctoria
Isolepis
Isolepis cernua
Isolepis setacea
Jacobaea
Jacobaea aquatica
Jacobaea boissieri
Jacobaea cannabifolia
Jacobaea erratica
Jacobaea erucifolia
Jacobaea maritima
Jacobaea vulgaris
Jasione
Jasione cavanillesii
Jasione laevis
Jasione laevis carpetana
Jasione maritima
Jasione montana
Jasminum
Jasminum officinale
Jasminum polyanthum
Juglandaceae
Juglans regia
Juncaceae
Juncus
Juncus acutiflorus
Juncus acutus
Juncus alpinoarticulatus
Juncus articulatus
Juncus balticus
Juncus bufonius
Juncus bulbosus
Juncus conglomeratus
Juncus effusus
Juncus foliosus
Juncus inflexus
Juncus maritimus
Juncus squarrosus
Juncus subulatus
Juncus tenuis
Juniperus communis
Juniperus communis saxatilis
Juniperus sabina
Jurinea humilis
Kalanchoe × houghtonii
Karpatiosorbus
Kerria japonica
Kickxia elatine
Kickxia spuria
Knautia
Knautia arvensis
Knautia dipsacifolia
Knautia nevadensis
Knautia subscaposa
Kniphofia uvaria
Koeleria
Koeleria pyramidata
Koeleria pyramidata arenaria
Koeleria vallesiana
Lablab purpureus
Lactuca
Lactuca perennis
Lactuca plumieri
Lactuca sativa
Lactuca serriola
Lactuca tenerrima
Lactuca virosa
Lactucinae
Lagenaria siceraria
Lagurus ovatus
Lamiaceae
Lamiales
Lamioideae
Lamiotypus
Lamium
Lamium album
Lamium amplexicaule
Lamium galeobdolon
Lamium galeobdolon argentatum
Lamium hybridum
Lamium maculatum
Lamium purpureum
Lampranthus
Lampranthus falciformis
Lanceifolia
Lantana
Lantana camara
Lantana involucrata
Lapsana communis
Larix
Laserpitium
Laserpitium gallicum
Laserpitium latifolium
Lathraea clandestina
Lathyrus
Lathyrus bauhinii
Lathyrus cicera
Lathyrus laevigatus
Lathyrus laevigatus occidentalis
Lathyrus latifolius
Lathyrus linifolius
Lathyrus niger
Lathyrus nissolia
Lathyrus palustris
Lathyrus palustris nudicaulis
Lathyrus pratensis
Lathyrus sphaericus
Lathyrus sylvestris
Lathyrus tingitanus
Lauraceae
Laurus
Laurus nobilis
Lavandula pedunculata
Legousia scabra
Lemna
Lemna aequinoctialis
Lemna minor
Lemna minuta
Leontodon
Leontodon hispidus
Leontodon saxatilis
Leontodon tuberosus
Lepidium campestre
Lepidium coronopus
Lepidium didymum
Lepidium draba
Lepidium heterophyllum
Lepidium latifolium
Lepidium virginicum
Leptogramma pozoi
Leptospermum
Leucanthemum
Leucanthemum cacuminis
Leucanthemum eliasii
Leucanthemum ircutianum
Leucanthemum ircutianum cantabricum
Leucanthemum ircutianum crassifolium
Leucanthemum maximum
Leucanthemum pluriflorum
Leucanthemum vulgare
Leucojum aestivum
Leycesteria
Leycesteria formosa
Leymus arenarius
Leymus triticoides
Ligusticum lucidum
Ligustrum
Ligustrum lucidum
Ligustrum obtusifolium
Ligustrum ovalifolium
Ligustrum vulgare
Liliaceae
Liliopsida
Lilium
Lilium martagon
Lilium pyrenaicum
Limbarda crithmoides
Limodorum abortivum
Limonium
Limonium binervosum
Limonium humile
Limonium ramosissimum
Limonium sinuatum
Limonium vulgare
Limosella aquatica
Linaria
Linaria alpina
