"Species_name","cleaned_name","tnrs_original_name","tnrs_matched_name","tnrs_accepted_name","tnrs_accepted_author","tnrs_family","tnrs_powo_uri","tnrs_taxonomic_status","tnrs_overall_score","tnrs_match_type"
"Narthecium ossifragum","Narthecium ossifragum","Narthecium ossifragum","Narthecium ossifragum","Narthecium ossifragum","(L.) Huds.","Nartheciaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:538658-1","Accepted",1,"accepted_or_direct"
"Neoschischkinia truncatula subsp. duriaei","Neoschischkinia truncatula subsp. duriaei","Neoschischkinia truncatula subsp. duriaei","Neoschischkinia truncatula subsp. durieui","Agrostula truncatula subsp. durieui","(Boiss. & Reut. ex Willk.) P.M.Peterson, Romasch., Soreng & Sylvester","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77075485-1","Synonym",0.96299571534876,"synonym_to_accepted"
"Neoschischkinia truncatula subsp. durieui","Neoschischkinia truncatula subsp. durieui","Neoschischkinia truncatula subsp. durieui","Neoschischkinia truncatula subsp. durieui","Agrostula truncatula subsp. durieui","(Boiss. & Reut. ex Willk.) P.M.Peterson, Romasch., Soreng & Sylvester","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77075485-1","Synonym",1,"synonym_to_accepted"
"Oe crocata","Oe crocata","Oe crocata","[No match found]","","","","","",NA,"unresolved_no_match"
"Oe glaciobiana","Oe glaciobiana","Oe glaciobiana","[No match found]","","","","","",NA,"unresolved_no_match"
"Oenoreta rosesa","Oenoreta rosesa","Oenoreta rosesa","Oenonea","Melittis","L.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:50449171-1","Synonym",0.45701346754469,"unresolved_low_score"
"Olcus lanatus","Olcus lanatus","Olcus lanatus","Holcus lanatus","Holcus lanatus","L.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:409600-1","Synonym",0.98210117101673,"synonym_to_accepted"
"Olcus molis","Olcus molis","Olcus molis","Holcus mollis","Holcus mollis","L.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:170487-2","Synonym",0.93223733444602,"synonym_to_accepted"
"Olea europaea var. sylvestris","Olea europaea var. sylvestris","Olea europaea var. sylvestris","Olea europaea var. sylvestris","Olea europaea subsp. europaea","","Oleaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60461026-2","Synonym",1,"synonym_to_accepted"
"Ononis spinosa","Ononis spinosa","Ononis spinosa","Ononis spinosa","Ononis spinosa","L.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:332101-2","Accepted",1,"accepted_or_direct"
"Ophrys apifera","Ophrys apifera","Ophrys apifera","Ophrys apifera","Ophrys apifera","Huds.","Orchidaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:647746-1","Accepted",1,"accepted_or_direct"
"Origanum vulgare","Origanum vulgare","Origanum vulgare","Origanum vulgare","Origanum vulgare","L.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:453395-1","Accepted",1,"accepted_or_direct"
"Orobanche hederae","Orobanche hederae","Orobanche hederae","Orobanche hederae","Orobanche hederae","Duby","Orobanchaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:662398-1","Accepted",1,"accepted_or_direct"
"Orobanche rapum-genistae","Orobanche rapum-genistae","Orobanche rapum-genistae","Orobanche rapum-genistae","Orobanche rapum-genistae","Thuill.","Orobanchaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:662643-1","Accepted",1,"accepted_or_direct"
