Taxón
Bellis perennis L., Sp. Pl.: 886 (1753)
Bellis sylvestris Cirillo, Pl. Rar. Neap. 2: 12, pl. 4 (1792)
Berberis thunbergii DC., Syst. Nat. 2: 9 (1821)
Berberis verruculosa Hemsl. & E.H.Wilson, Kew Bull.: 151 (1906)
Berberis vulgaris L. subsp. cantabrica Rivas Mart., T.E.Díaz, Fern.Prieto, Loidi & Penas, Veg. Alta Mont. Cantábrica: 257 (1984)
Bergenia cordifolia (Haw.) Sternb., Revis. Saxifrag. 2: 2 (1831)
Bergenia crassifolia (L.) Fritsch, Verh. K.K. Zool.-Bot. Ges. Wien 39: 587 (1889)
Bergenia ×schmidtii (Regel) Silva Tar., Freiland-Staud.: 43 (1910)
Berula erecta (Huds.) Coville, Contr. U.S. Natl. Herb. 4: 115 (1893)
Beta maritima L., Sp. Pl., ed. 2: 322 (1762)
Beta vulgaris L., Sp. Pl.: 222 (1753)
Betonica alopecurus L., Sp. Pl.: 573 (1753)
Betonica officinalis L., Sp. Pl.: 573 (1753)
Betula celtiberica Rothm. & Vasc., Bol. Soc. Brot., ser. 2, 14: 147 (1940)
Betula pendula Roth, Tent. Fl. Germ. 1: 405 (1788)
Betula populifolia Marshall, Arbust. Amer.: 19 (1785)
Bidens aurea (Aiton) Sherff, Bot. Gaz.(Chicago) 59: 313 (1915)
Bidens cernua L., Sp. Pl.: 832 (1753)
Bidens frondosa L., Sp. Pl.: 832 (1753)
Bidens tripartita L., Sp. Pl.: 831 (1753)
Biscutella laevigata L., Mant. Pl.: 255 (1771)
Biscutella valentina (Loefl. ex L.) Heywood, Feddes Repert. Spec. Nov. Regni Veg. 66: 155 (1962)
Biscutella variegata Boiss. & Reut., in Boiss., Diagn. Pl. Orient., ser. 2, 1: 44 (1854)
Biserrula pelecinus L., Sp. Pl.: 762 (1753)
Bistorta officinalis Delarbre, Fl. Auvergne, ed. 2, 2: 516 (1800)
Bistorta vivipara (L.) Delarbre, Fl. Auvergne, ed. 2, 2: 516 (1800) 
Bituminaria bituminosa (L.) C.H.Stirt., Bothalia 13: 318 (1981)
Blackstonia perfoliata (L.) Huds., Fl. Angl.: 146 (1762)
Blechnum spicant (L.) Roth, Ann. Bot. (Usteri) 10: 156 (1794) subsp. spicant
Blysmus compressus (L.) Panz., in Link, Hort. Berol. 1: 278 (1827)
Bolboschoenus maritimus (L.) Palla, in W.D.J.Koch, Syn. Deut. Schweiz. Fl., ed. 3: 2532 (1905)
